,depth,activation,neurons,acc,num_epochs
0,1,relu,5,0.7250000238418579,305
1,1,relu,10,0.6690000295639038,176
2,1,relu,20,0.6060000061988831,28
3,1,lrelu,5,0.5709999799728394,12
4,1,lrelu,10,0.6669999957084656,205
5,1,lrelu,20,0.9459999799728394,449
6,1,sigmoid,5,0.562999963760376,28
7,1,sigmoid,10,0.562999963760376,41
8,1,sigmoid,20,0.562000036239624,22
9,1,tanh,5,0.6299999952316284,129
10,1,tanh,10,0.722000002861023,204
11,1,tanh,20,0.9959999918937683,492
12,2,relu,5,0.9959999918937683,260
13,2,relu,10,0.9980000257492065,220
14,2,relu,20,0.9990000128746033,131
15,2,lrelu,5,0.7789999842643738,177
16,2,lrelu,10,0.9980000257492065,193
17,2,lrelu,20,0.996999979019165,134
18,2,sigmoid,5,0.5649999976158142,71
19,2,sigmoid,10,0.5529999732971191,70
20,2,sigmoid,20,0.5579999685287476,60
21,2,tanh,5,0.7919999957084656,552
22,2,tanh,10,0.996999979019165,359
23,2,tanh,20,0.9980000257492065,246
24,3,relu,5,0.8370000123977661,157
25,3,relu,10,0.9990000128746033,116
26,3,relu,20,0.9990000128746033,93
27,3,lrelu,5,0.9959999918937683,274
28,3,lrelu,10,0.9990000128746033,134
29,3,lrelu,20,0.9990000128746033,99
30,3,sigmoid,5,0.5,9
31,3,sigmoid,10,0.49800002574920654,9
32,3,sigmoid,20,0.5,8
33,3,tanh,5,0.9980000257492065,845
34,3,tanh,10,0.9980000257492065,226
35,3,tanh,20,0.996999979019165,142
36,4,relu,5,0.9980000257492065,169
37,4,relu,10,0.996999979019165,112
38,4,relu,20,0.9980000257492065,93
39,4,lrelu,5,0.9959999918937683,1000
40,4,lrelu,10,0.9990000128746033,139
41,4,lrelu,20,0.9980000257492065,87
42,4,sigmoid,5,0.5,10
43,4,sigmoid,10,0.5,9
44,4,sigmoid,20,0.5,8
45,4,tanh,5,0.996999979019165,719
46,4,tanh,10,0.9980000257492065,184
47,4,tanh,20,0.9980000257492065,189
48,5,relu,5,0.4959999918937683,15
49,5,relu,10,0.9990000128746033,141
50,5,relu,20,0.9990000128746033,65
51,5,lrelu,5,0.9990000128746033,507
52,5,lrelu,10,1.0,116
53,5,lrelu,20,0.9980000257492065,103
54,5,sigmoid,5,0.5,9
55,5,sigmoid,10,0.5,9
56,5,sigmoid,20,0.5,9
57,5,tanh,5,0.8880000114440918,1000
58,5,tanh,10,0.9959999918937683,233
59,5,tanh,20,0.9990000128746033,175
